layer	object_id	event_type	parent_node	child_node	parent_label	child_label	branch_length	status	change	event_probability	ctmc_change_probability	ctmc_most_likely_change	ctmc_most_likely_change_probability
element_presence	EG_Adh_A	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	2.55057e-05	present->present	0.999974
element_presence	EG_Adh_A	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	2.59498e-07	present->present	1
element_presence	EG_Adh_A	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	2.59498e-07	present->present	1
element_presence	EG_Adh_A	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	2.55057e-05	present->present	0.999974
element_presence	EG_Adh_A	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	2.60723e-07	present->present	1
element_presence	EG_Adh_A	state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	unchanged_or_ambiguous	NA	0	3.81414e-07	present->present	1
element_presence	EG_Adh_A	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	1.33223e-07	present->present	1
element_presence	EG_Adh_A	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	1.33223e-07	present->present	1
element_role_state	EG_Adh_A	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	8.27992e-06	CDS->CDS	0.999992
element_role_state	EG_Adh_A	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	2.41014e-08	CDS->CDS	1
element_role_state	EG_Adh_A	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	2.41014e-08	CDS->CDS	1
element_role_state	EG_Adh_A	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	8.27992e-06	CDS->CDS	0.999992
element_role_state	EG_Adh_A	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	2.4131e-08	CDS->CDS	1
element_role_state	EG_Adh_A	state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	unchanged_or_ambiguous	NA	0	3.36806e-08	CDS->CDS	1
element_role_state	EG_Adh_A	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	1.21233e-08	CDS->CDS	1
element_role_state	EG_Adh_A	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	1.21233e-08	CDS->CDS	1
element_presence	EG_yande_Y	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	2.55057e-05	present->present	0.999974
element_presence	EG_yande_Y	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	2.59498e-07	present->present	1
element_presence	EG_yande_Y	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	2.59498e-07	present->present	1
element_presence	EG_yande_Y	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	2.55057e-05	present->present	0.999974
element_presence	EG_yande_Y	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	2.60723e-07	present->present	1
element_presence	EG_yande_Y	state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	unchanged_or_ambiguous	NA	0	3.81414e-07	present->present	1
