layer	object_id	parent_node	child_node	parent_label	child_label	map_sample_count	posterior_pr_any_change	posterior_expected_change_count	posterior_change_count_low	posterior_change_count_high	posterior_most_frequent_transition	posterior_transition_probability
element_presence	EG_Adh_A	root	mel_group	root	mel_group	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	root	yak_tei	root	yak_tei	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	yak_tei	Dere	yak_tei	Dere	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	yak_tei	jgw_clade	yak_tei	jgw_clade	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
element_presence	EG_Adh_A	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	root	mel_group	root	mel_group	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	root	yak_tei	root	yak_tei	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	yak_tei	Dere	yak_tei	Dere	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	yak_tei	jgw_clade	yak_tei	jgw_clade	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
element_role_state	EG_Adh_A	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	root	mel_group	root	mel_group	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	root	yak_tei	root	yak_tei	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	yak_tei	Dere	yak_tei	Dere	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	yak_tei	jgw_clade	yak_tei	jgw_clade	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
element_presence	EG_yande_Y	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
element_role_state	EG_yande_Y	root	mel_group	root	mel_group	5	0.2	0.2	0	0.9	exon_or_UTR->non_exonic_source	1
element_role_state	EG_yande_Y	root	yak_tei	root	yak_tei	5	0.2	0.2	0	0.9	CDS->non_exonic_source	1
element_role_state	EG_yande_Y	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
element_role_state	EG_yande_Y	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
element_role_state	EG_yande_Y	yak_tei	Dere	yak_tei	Dere	5	0.2	0.2	0	0.9	CDS->non_exonic_source	1
element_role_state	EG_yande_Y	yak_tei	jgw_clade	yak_tei	jgw_clade	5	1	1	1	1	non_exonic_source->CDS	0.8
element_role_state	EG_yande_Y	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
element_role_state	EG_yande_Y	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	root	mel_group	root	mel_group	5	1	1	1	1	absent->present	0.8
element_adjacency_state	EG_yande_Y__EG_Adh_A	root	yak_tei	root	yak_tei	5	1	1	1	1	absent->present	0.6
element_adjacency_state	EG_yande_Y__EG_Adh_A	mel_group	Dmel	mel_group	Dmel	5	1	1	1	1	copy_variable->absent	0.6
element_adjacency_state	EG_yande_Y__EG_Adh_A	mel_group	Dsim	mel_group	Dsim	5	1	1	1	1	present->absent	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	yak_tei	Dere	yak_tei	Dere	5	1	1	1	1	present->absent	0.6
element_adjacency_state	EG_yande_Y__EG_Adh_A	yak_tei	jgw_clade	yak_tei	jgw_clade	5	1	1	1	1	present->absent	0.8
element_adjacency_state	EG_yande_Y__EG_Adh_A	jgw_clade	Dyak	jgw_clade	Dyak	5	1	1	1	1	absent->present	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	jgw_clade	Dtei	jgw_clade	Dtei	5	1	1	1	1	absent->present	1
source_mixture	jingwei	root	mel_group	root	mel_group	5	0.4	0.4	0	1	multi_source->single_source	1
source_mixture	jingwei	root	yak_tei	root	yak_tei	5	0	0	0	0	NA	0
source_mixture	jingwei	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
source_mixture	jingwei	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
source_mixture	jingwei	yak_tei	Dere	yak_tei	Dere	5	0.6	0.6	0	1	multi_source->single_source	0.666667
source_mixture	jingwei	yak_tei	jgw_clade	yak_tei	jgw_clade	5	0.6	0.6	0	1	single_source->multi_source	1
source_mixture	jingwei	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
source_mixture	jingwei	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	root	mel_group	root	mel_group	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	root	yak_tei	root	yak_tei	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	mel_group	Dmel	mel_group	Dmel	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	mel_group	Dsim	mel_group	Dsim	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	yak_tei	Dere	yak_tei	Dere	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	yak_tei	jgw_clade	yak_tei	jgw_clade	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	jgw_clade	Dyak	jgw_clade	Dyak	5	0	0	0	0	NA	0
copy_multiplicity	jingwei	jgw_clade	Dtei	jgw_clade	Dtei	5	0	0	0	0	NA	0
