family_id	layer	site_id	parent_node	child_node	parent_label	child_label	branch_length	from_state	to_state	endpoint_transition_probability	total_endpoint_change_probability	expected_gain_count	expected_loss_count	model
rpl32_control	exon_presence	EG_0001	root	mel_sim	root	mel_sim	1	absent	present	1.3724021e-13	1.3724026e-13	2.0586029e-13	6.862013e-14	ER
rpl32_control	exon_presence	EG_0001	root	mel_sim	root	mel_sim	1	present	absent	5.0841905e-20	1.3724026e-13	2.0586029e-13	6.862013e-14	ER
rpl32_control	exon_presence	EG_0001	root	yak_tei_ere	root	yak_tei_ere	1	absent	present	1.3724021e-13	1.3724026e-13	2.0586029e-13	6.862013e-14	ER
rpl32_control	exon_presence	EG_0001	root	yak_tei_ere	root	yak_tei_ere	1	present	absent	5.0841924e-20	1.3724026e-13	2.0586029e-13	6.862013e-14	ER
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_melanogaster	mel_sim	Drosophila_melanogaster	1	absent	present	1.0168383e-19	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_melanogaster	mel_sim	Drosophila_melanogaster	1	present	absent	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_simulans	mel_sim	Drosophila_simulans	1	absent	present	1.0168383e-19	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_simulans	mel_sim	Drosophila_simulans	1	present	absent	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER
rpl32_control	exon_presence	EG_0001	yak_tei_ere	Drosophila_erecta	yak_tei_ere	Drosophila_erecta	1	absent	present	1.0168387e-19	1.0168387e-19	6.8620181e-14	6.8620079e-14	ER
rpl32_control	exon_presence	EG_0001	yak_tei_ere	Drosophila_erecta	yak_tei_ere	Drosophila_erecta	1	present	absent	0	1.0168387e-19	6.8620181e-14	6.8620079e-14	ER
