family_id	layer	site_id	node_id	node_label	state	posterior_probability	model
rpl32_control	exon_presence	EG_0001	root	root	absent	1.3724026e-13	ER
rpl32_control	exon_presence	EG_0001	root	root	present	1	ER
rpl32_control	exon_presence	EG_0001	mel_sim	mel_sim	absent	1.0168383e-19	ER
rpl32_control	exon_presence	EG_0001	mel_sim	mel_sim	present	1	ER
rpl32_control	exon_presence	EG_0001	Drosophila_melanogaster	Drosophila_melanogaster	absent	0	ER
rpl32_control	exon_presence	EG_0001	Drosophila_melanogaster	Drosophila_melanogaster	present	1	ER
rpl32_control	exon_presence	EG_0001	Drosophila_simulans	Drosophila_simulans	absent	0	ER
rpl32_control	exon_presence	EG_0001	Drosophila_simulans	Drosophila_simulans	present	1	ER
rpl32_control	exon_presence	EG_0001	yak_tei_ere	yak_tei_ere	absent	1.0168387e-19	ER
rpl32_control	exon_presence	EG_0001	yak_tei_ere	yak_tei_ere	present	1	ER
rpl32_control	exon_presence	EG_0001	Drosophila_erecta	Drosophila_erecta	absent	0	ER
rpl32_control	exon_presence	EG_0001	Drosophila_erecta	Drosophila_erecta	present	1	ER
rpl32_control	exon_presence	EG_0001	yak_tei	yak_tei	absent	5.0841943e-20	ER
rpl32_control	exon_presence	EG_0001	yak_tei	yak_tei	present	1	ER
rpl32_control	exon_presence	EG_0001	Drosophila_yakuba	Drosophila_yakuba	absent	0	ER
rpl32_control	exon_presence	EG_0001	Drosophila_yakuba	Drosophila_yakuba	present	1	ER
rpl32_control	exon_presence	EG_0001	Drosophila_teissieri	Drosophila_teissieri	absent	0	ER
rpl32_control	exon_presence	EG_0001	Drosophila_teissieri	Drosophila_teissieri	present	1	ER
rpl32_control	exon_presence	EG_0003	root	root	absent	1.3724026e-13	ER
rpl32_control	exon_presence	EG_0003	root	root	present	1	ER
rpl32_control	exon_presence	EG_0003	mel_sim	mel_sim	absent	1.0168383e-19	ER
rpl32_control	exon_presence	EG_0003	mel_sim	mel_sim	present	1	ER
rpl32_control	exon_presence	EG_0003	Drosophila_melanogaster	Drosophila_melanogaster	absent	0	ER
rpl32_control	exon_presence	EG_0003	Drosophila_melanogaster	Drosophila_melanogaster	present	1	ER
rpl32_control	exon_presence	EG_0003	Drosophila_simulans	Drosophila_simulans	absent	0	ER
rpl32_control	exon_presence	EG_0003	Drosophila_simulans	Drosophila_simulans	present	1	ER
