family_id	layer	site_id	parent_node	child_node	branch_scope	structural_change_type	structural_pattern	endpoint_change_probability	gain_endpoint_probability	loss_endpoint_probability	direction_probability	expected_gain_count	expected_loss_count	model	rate_test_status
rpl32_control	exon_presence	EG_0001	root	mel_sim	root->mel_sim	exon_gain	exon_gain	1.3724026e-13	1.3724021e-13	5.0841905e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	root	yak_tei_ere	root->yak_tei_ere	exon_gain	exon_gain	1.3724026e-13	1.3724021e-13	5.0841924e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_melanogaster	mel_sim->Drosophila_melanogaster	exon_gain	exon_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	mel_sim	Drosophila_simulans	mel_sim->Drosophila_simulans	exon_gain	exon_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	yak_tei_ere	Drosophila_erecta	yak_tei_ere->Drosophila_erecta	exon_gain	exon_gain	1.0168387e-19	1.0168387e-19	0	1.0168387e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	yak_tei_ere	yak_tei	yak_tei_ere->yak_tei	exon_gain	exon_gain	1.5252573e-19	1.0168383e-19	5.0841905e-20	1.0168383e-19	6.8620181e-14	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	yak_tei	Drosophila_yakuba	yak_tei->Drosophila_yakuba	exon_gain	exon_gain	5.0841943e-20	5.0841943e-20	0	5.0841943e-20	6.862013e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0001	yak_tei	Drosophila_teissieri	yak_tei->Drosophila_teissieri	exon_gain	exon_gain	5.0841943e-20	5.0841943e-20	0	5.0841943e-20	6.862013e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	root	mel_sim	root->mel_sim	exon_gain	exon_gain	1.3724026e-13	1.3724021e-13	5.0841905e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	root	yak_tei_ere	root->yak_tei_ere	exon_gain	exon_gain	1.3724026e-13	1.3724021e-13	5.0841924e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	mel_sim	Drosophila_melanogaster	mel_sim->Drosophila_melanogaster	exon_gain	exon_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	mel_sim	Drosophila_simulans	mel_sim->Drosophila_simulans	exon_gain	exon_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	yak_tei_ere	Drosophila_erecta	yak_tei_ere->Drosophila_erecta	exon_gain	exon_gain	1.0168387e-19	1.0168387e-19	0	1.0168387e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_presence	EG_0003	yak_tei_ere	yak_tei	yak_tei_ere->yak_tei	exon_gain	exon_gain	1.5252573e-19	1.0168383e-19	5.0841905e-20	1.0168383e-19	6.8620181e-14	6.862013e-14	ER	parameters_not_estimable
