layer	object_id	score	node_id	node_label	state	probability	is_parsimony_best
element_presence	EG_Anx_A	0	root	root	absent	0.00247262	0
element_presence	EG_Anx_A	0	root	root	present	0.997527	1
element_presence	EG_Anx_A	0	outgroup	Dyak	absent	0	0
element_presence	EG_Anx_A	0	outgroup	Dyak	present	1	1
element_presence	EG_Anx_A	0	mel_sim	mel_sim	absent	0.119203	0
element_presence	EG_Anx_A	0	mel_sim	mel_sim	present	0.880797	1
element_presence	EG_Anx_A	0	Dsim	Dsim	absent	0	0
element_presence	EG_Anx_A	0	Dsim	Dsim	present	1	1
element_presence	EG_Anx_A	0	mel	Dmel	absent	0	0
element_presence	EG_Anx_A	0	mel	Dmel	present	1	1
element_role_state	EG_Anx_A	0	root	root	CDS	0.868176	1
element_role_state	EG_Anx_A	0	root	root	absent	0.00215199	0
element_role_state	EG_Anx_A	0	root	root	exon_or_UTR	0.0432239	0
element_role_state	EG_Anx_A	0	root	root	non_exonic_source	0.0432239	0
element_role_state	EG_Anx_A	0	root	root	unknown	0.0432239	0
element_role_state	EG_Anx_A	0	outgroup	Dyak	CDS	1	1
element_role_state	EG_Anx_A	0	outgroup	Dyak	absent	0	0
element_role_state	EG_Anx_A	0	outgroup	Dyak	exon_or_UTR	0	0
element_role_state	EG_Anx_A	0	outgroup	Dyak	non_exonic_source	0	0
element_role_state	EG_Anx_A	0	outgroup	Dyak	unknown	0	0
element_role_state	EG_Anx_A	0	mel_sim	mel_sim	CDS	0.446633	1
element_role_state	EG_Anx_A	0	mel_sim	mel_sim	absent	0.0604452	0
element_role_state	EG_Anx_A	0	mel_sim	mel_sim	exon_or_UTR	0.164307	0
element_role_state	EG_Anx_A	0	mel_sim	mel_sim	non_exonic_source	0.164307	0
element_role_state	EG_Anx_A	0	mel_sim	mel_sim	unknown	0.164307	0
element_role_state	EG_Anx_A	0	Dsim	Dsim	CDS	1	1
element_role_state	EG_Anx_A	0	Dsim	Dsim	absent	0	0
element_role_state	EG_Anx_A	0	Dsim	Dsim	exon_or_UTR	0	0
element_role_state	EG_Anx_A	0	Dsim	Dsim	non_exonic_source	0	0
element_role_state	EG_Anx_A	0	Dsim	Dsim	unknown	0	0
element_role_state	EG_Anx_A	0	mel	Dmel	CDS	1	1
element_role_state	EG_Anx_A	0	mel	Dmel	absent	0	0
element_role_state	EG_Anx_A	0	mel	Dmel	exon_or_UTR	0	0
element_role_state	EG_Anx_A	0	mel	Dmel	non_exonic_source	0	0
element_role_state	EG_Anx_A	0	mel	Dmel	unknown	0	0
element_presence	EG_sdic_I	0	root	root	absent	0.119203	0
element_presence	EG_sdic_I	0	root	root	present	0.880797	1
element_presence	EG_sdic_I	0	outgroup	Dyak	absent	0.5	0
element_presence	EG_sdic_I	0	outgroup	Dyak	present	0.5	1
element_presence	EG_sdic_I	0	mel_sim	mel_sim	absent	0.5	0
element_presence	EG_sdic_I	0	mel_sim	mel_sim	present	0.5	1
element_presence	EG_sdic_I	0	Dsim	Dsim	absent	0.5	0
element_presence	EG_sdic_I	0	Dsim	Dsim	present	0.5	1
element_presence	EG_sdic_I	0	mel	Dmel	absent	0	0
element_presence	EG_sdic_I	0	mel	Dmel	present	1	1
element_role_state	EG_sdic_I	2	root	root	CDS	0.322202	1
element_role_state	EG_sdic_I	2	root	root	absent	0.322202	0
element_role_state	EG_sdic_I	2	root	root	exon_or_UTR	0.118532	0
element_role_state	EG_sdic_I	2	root	root	non_exonic_source	0.118532	0
element_role_state	EG_sdic_I	2	root	root	unknown	0.118532	0
element_role_state	EG_sdic_I	2	outgroup	Dyak	CDS	0.2	1
element_role_state	EG_sdic_I	2	outgroup	Dyak	absent	0.2	0
element_role_state	EG_sdic_I	2	outgroup	Dyak	exon_or_UTR	0.2	0
element_role_state	EG_sdic_I	2	outgroup	Dyak	non_exonic_source	0.2	0
element_role_state	EG_sdic_I	2	outgroup	Dyak	unknown	0.2	0
element_role_state	EG_sdic_I	2	mel_sim	mel_sim	CDS	0.0878036	1
element_role_state	EG_sdic_I	2	mel_sim	mel_sim	absent	0.648786	0
element_role_state	EG_sdic_I	2	mel_sim	mel_sim	exon_or_UTR	0.0878036	0
element_role_state	EG_sdic_I	2	mel_sim	mel_sim	non_exonic_source	0.0878036	0
element_role_state	EG_sdic_I	2	mel_sim	mel_sim	unknown	0.0878036	0
element_role_state	EG_sdic_I	2	Dsim	Dsim	CDS	0	0
element_role_state	EG_sdic_I	2	Dsim	Dsim	absent	1	1
element_role_state	EG_sdic_I	2	Dsim	Dsim	exon_or_UTR	0	0
element_role_state	EG_sdic_I	2	Dsim	Dsim	non_exonic_source	0	0
