layer	object_id	parent_node	child_node	parent_label	child_label	map_sample_count	posterior_pr_any_change	posterior_expected_change_count	posterior_change_count_low	posterior_change_count_high	posterior_most_frequent_transition	posterior_transition_probability
element_presence	EG_Anx_A	root	outgroup	root	Dyak	5	0	0	0	0	NA	0
element_presence	EG_Anx_A	root	mel_sim	root	mel_sim	5	0	0	0	0	NA	0
element_presence	EG_Anx_A	root	mel	root	Dmel	5	0	0	0	0	NA	0
element_presence	EG_Anx_A	mel_sim	Dsim	mel_sim	Dsim	5	0	0	0	0	NA	0
element_role_state	EG_Anx_A	root	outgroup	root	Dyak	5	0	0	0	0	NA	0
element_role_state	EG_Anx_A	root	mel_sim	root	mel_sim	5	0	0	0	0	NA	0
element_role_state	EG_Anx_A	root	mel	root	Dmel	5	0	0	0	0	NA	0
element_role_state	EG_Anx_A	mel_sim	Dsim	mel_sim	Dsim	5	0	0	0	0	NA	0
element_role_state	EG_sdic_I	root	outgroup	root	Dyak	5	1	1	1	1	exon_or_UTR->CDS	0.2
element_role_state	EG_sdic_I	root	mel_sim	root	mel_sim	5	1	1	1	1	exon_or_UTR->non_exonic_source	0.2
element_role_state	EG_sdic_I	root	mel	root	Dmel	5	1	1	1	1	absent->CDS	0.6
element_role_state	EG_sdic_I	mel_sim	Dsim	mel_sim	Dsim	5	1	1	1	1	non_exonic_source->absent	0.4
element_presence	EG_sw_S	root	outgroup	root	Dyak	5	0	0	0	0	NA	0
element_presence	EG_sw_S	root	mel_sim	root	mel_sim	5	0	0	0	0	NA	0
element_presence	EG_sw_S	root	mel	root	Dmel	5	0	0	0	0	NA	0
element_presence	EG_sw_S	mel_sim	Dsim	mel_sim	Dsim	5	0	0	0	0	NA	0
element_role_state	EG_sw_S	root	outgroup	root	Dyak	5	0	0	0	0	NA	0
element_role_state	EG_sw_S	root	mel_sim	root	mel_sim	5	0	0	0	0	NA	0
element_role_state	EG_sw_S	root	mel	root	Dmel	5	0	0	0	0	NA	0
element_role_state	EG_sw_S	mel_sim	Dsim	mel_sim	Dsim	5	0	0	0	0	NA	0
element_adjacency_state	EG_Anx_A__EG_sw_S	root	outgroup	root	Dyak	5	0.4	0.4	0	1	present->absent	0.5
element_adjacency_state	EG_Anx_A__EG_sw_S	root	mel_sim	root	mel_sim	5	0.4	0.4	0	1	copy_variable->absent	0.5
element_adjacency_state	EG_Anx_A__EG_sw_S	root	mel	root	Dmel	5	0.8	0.8	0.1	1	absent->present	0.75
element_adjacency_state	EG_Anx_A__EG_sw_S	mel_sim	Dsim	mel_sim	Dsim	5	0.8	0.8	0.1	1	present->absent	0.75
source_mixture	sdic	root	outgroup	root	Dyak	5	0.6	0.6	0	1	multi_source->single_source	1
source_mixture	sdic	root	mel_sim	root	mel_sim	5	0.4	0.4	0	1	multi_source->unknown	0.5
source_mixture	sdic	root	mel	root	Dmel	5	0.2	0.2	0	0.9	unknown->multi_source	1
source_mixture	sdic	mel_sim	Dsim	mel_sim	Dsim	5	0.6	0.6	0	1	unknown->single_source	1
copy_multiplicity	sdic	root	outgroup	root	Dyak	5	0	0	0	0	NA	0
copy_multiplicity	sdic	root	mel_sim	root	mel_sim	5	0.2	0.2	0	0.9	single_copy->dispersed_multi_copy	1
copy_multiplicity	sdic	root	mel	root	Dmel	5	0.8	0.8	0.1	1	single_copy->tandem_multi_copy	1
copy_multiplicity	sdic	mel_sim	Dsim	mel_sim	Dsim	5	0.2	0.2	0	0.9	unknown->single_copy	1
