layer	object_id	model	fitted_rate	log_likelihood	aic	bic	observed_tip_count
element_presence	EG_Anx_A	ctmc_mk_branch_length	0.005	-0.713172	3.42634	2.52496	3
element_role_state	EG_Anx_A	ctmc_mk_branch_length	0.005	-1.62948	5.25896	4.35757	3
element_presence	EG_sdic_I	insufficient_observed_tips	NA	NA	NA	NA	1
element_role_state	EG_sdic_I	ctmc_mk_branch_length	1	-3.79862	9.59724	8.29039	2
element_presence	EG_sw_S	ctmc_mk_branch_length	0.005	-0.713172	3.42634	2.52496	3
element_role_state	EG_sw_S	ctmc_mk_branch_length	0.005	-1.62948	5.25896	4.35757	3
element_adjacency_state	EG_Anx_A__EG_sdic_I	insufficient_observed_tips	NA	NA	NA	NA	1
element_adjacency_state	EG_Anx_A__EG_sw_S	ctmc_mk_branch_length	0.65	-2.92509	7.85017	6.94879	3
element_adjacency_state	EG_sdic_I__EG_sw_S	insufficient_observed_tips	NA	NA	NA	NA	1
source_mixture	sdic	ctmc_mk_branch_length	0.65	-3.39539	8.79077	7.88939	3
copy_multiplicity	sdic	ctmc_mk_branch_length	0.4	-5.37571	12.7514	11.85	3
