element_id	family_id	homology_id	occurrence_id	species	gene_copy_id	element_class	display_role	source_label	support_type	confidence	membership_score	membership_call
EG_Adh_A	jingwei	H_Adh_A	Dmel_Adh_A	Dmel	Adh_source_copy	exon_like	CDS	Adh_source	curated_alignment	high	0.9625	core_member
EG_Adh_A	jingwei	H_Adh_A	Dsim_Adh_A	Dsim	Adh_source_copy	exon_like	CDS	Adh_source	curated_alignment	high	0.7125	core_member
EG_Adh_A	jingwei	H_Adh_A	Dere_Adh_A	Dere	Adh_source_copy	exon_like	CDS	Adh_source	curated_alignment	high	0.7125	core_member
EG_yande_Y	jingwei	H_yande_Y	Dmel_yande_Y	Dmel	yande_source_copy	candidate_source	non_exonic_source	yande_source	curated_alignment	high	0.9625	core_member
EG_yande_Y	jingwei	H_yande_Y	Dsim_yande_Y	Dsim	yande_source_copy	candidate_source	non_exonic_source	yande_source	curated_alignment	high	0.7125	core_member
EG_yande_Y	jingwei	H_yande_Y	Dere_yande_Y	Dere	yande_source_copy	candidate_source	non_exonic_source	yande_source	curated_alignment	high	0.7125	core_member
EG_yande_Y	jingwei	H_yande_Y	Dyak_jgw_Y	Dyak	jgw_copy	exon_like	CDS	yande_source	curated_alignment	high	0.8375	core_member
EG_Adh_A	jingwei	H_Adh_A	Dyak_jgw_A	Dyak	jgw_copy	exon_like	CDS	Adh_source	curated_alignment	high	0.8375	core_member
EG_yande_Y	jingwei	H_yande_Y	Dtei_jgw_Y	Dtei	jgw_copy	exon_like	CDS	yande_source	curated_alignment	high	0.8375	core_member
EG_Adh_A	jingwei	H_Adh_A	Dtei_jgw_A	Dtei	jgw_copy	exon_like	CDS	Adh_source	curated_alignment	high	0.8375	core_member
EG_yande_Y	jingwei	H_yande_Y	Dyak_hidden_Y2	Dyak	jgw_copy	candidate_source	absent	yande_source	sequence_synteny_hidden	medium	0.6875	ambiguous_member
