case_id	species	family_id	gene_id	gene_copy_id	genome_fasta	annotation_file	assembly	annotation	source_url	release	role_hint	source_label	copy_role	notes
jingwei	Drosophila_melanogaster	jingwei	3771877	Dmel_Adh	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	source_adh	Adh	source	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_melanogaster	jingwei	43088	Dmel_ymp	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	source_yande_or_yellow_emperor	ymp	source	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_simulans	jingwei	6732347	Dsim_Adh	/data/db/genome/Drosophila_simulans/GCF_016746395.2/genome.fa.gz	/data/db/genome/Drosophila_simulans/GCF_016746395.2/annotation.gff3.gz	GCF_016746395.2	NCBI Drosophila simulans Annotation Release 103	NCBI_RefSeq	2021-10-28	background_adh	Adh	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_simulans	jingwei	6729634	Dsim_ymp	/data/db/genome/Drosophila_simulans/GCF_016746395.2/genome.fa.gz	/data/db/genome/Drosophila_simulans/GCF_016746395.2/annotation.gff3.gz	GCF_016746395.2	NCBI Drosophila simulans Annotation Release 103	NCBI_RefSeq	2021-10-28	background_yande_or_yellow_emperor_ortholog	ymp	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_erecta	jingwei	6540581	Dere_Adh	/data/db/genome/Drosophila_erecta/GCF_003286155.1/genome.fa.gz	/data/db/genome/Drosophila_erecta/GCF_003286155.1/annotation.gff3.gz	GCF_003286155.1	NCBI Drosophila erecta Annotation Release 101	NCBI_RefSeq	2018-11-01	background_adh	Adh	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_erecta	jingwei	6554701	Dere_ymp	/data/db/genome/Drosophila_erecta/GCF_003286155.1/genome.fa.gz	/data/db/genome/Drosophila_erecta/GCF_003286155.1/annotation.gff3.gz	GCF_003286155.1	NCBI Drosophila erecta Annotation Release 101	NCBI_RefSeq	2018-11-01	background_yande_or_yellow_emperor_ortholog	ymp	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_yakuba	jingwei	6528253	Dyak_Adh_like	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/genome.fa.gz	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/annotation.gff3.gz	GCF_016746365.2	NCBI Drosophila yakuba Annotation Release 102	NCBI_RefSeq	2021-08-16	adh_like_source	Adh	source	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_yakuba	jingwei	6538495	Dyak_jgw	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/genome.fa.gz	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/annotation.gff3.gz	GCF_016746365.2	NCBI Drosophila yakuba Annotation Release 102	NCBI_RefSeq	2021-08-16	derived_jingwei_candidate	jingwei	derived	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_yakuba	jingwei	6538498	Dyak_ymp	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/genome.fa.gz	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/annotation.gff3.gz	GCF_016746365.2	NCBI Drosophila yakuba Annotation Release 102	NCBI_RefSeq	2021-08-16	yande_or_yellow_emperor_ortholog	ymp	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_teissieri	jingwei	122626787	Dtei_Adh	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/genome.fa.gz	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/annotation.gff3.gz	GCF_016746235.2	NCBI Drosophila teissieri Annotation Release 100	NCBI_RefSeq	2021-09-21	background_adh	Adh	background	NCBI GeneID from local RefSeq GFF
jingwei	Drosophila_teissieri	jingwei	122622063	Dtei_ymp	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/genome.fa.gz	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/annotation.gff3.gz	GCF_016746235.2	NCBI Drosophila teissieri Annotation Release 100	NCBI_RefSeq	2021-09-21	yande_or_yellow_emperor_ortholog	ymp	background	NCBI GeneID from local RefSeq GFF
