element_id	family_id	homology_id	occurrence_id	species	gene_copy_id	element_class	display_role	source_label	support_type	confidence	membership_score	membership_call
EG_0001	rpl32_control	HC_0001	Drosophila_erecta_Dere_RpL32_001_CDS	Drosophila_erecta	Dere_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.812922	0.859692	core_member
EG_0001	rpl32_control	HC_0001	Drosophila_melanogaster_Dmel_RpL32_003_CDS	Drosophila_melanogaster	Dmel_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.797172	0.847879	core_member
EG_0001	rpl32_control	HC_0001	Drosophila_simulans_Dsim_RpL32_003_CDS	Drosophila_simulans	Dsim_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.904922	0.928692	core_member
EG_0001	rpl32_control	HC_0001	Drosophila_teissieri_Dtei_RpL32_003_CDS	Drosophila_teissieri	Dtei_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.904008	0.928006	core_member
EG_0001	rpl32_control	HC_0001	Drosophila_yakuba_Dyak_RpL32_003_CDS	Drosophila_yakuba	Dyak_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.904008	0.928006	core_member
EG_0003	rpl32_control	HC_0003	Drosophila_erecta_Dere_RpL32_003_CDS	Drosophila_erecta	Dere_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.817734	0.863301	core_member
EG_0003	rpl32_control	HC_0003	Drosophila_melanogaster_Dmel_RpL32_001_CDS	Drosophila_melanogaster	Dmel_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.950551	0.962913	core_member
EG_0003	rpl32_control	HC_0003	Drosophila_simulans_Dsim_RpL32_001_CDS	Drosophila_simulans	Dsim_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.950824	0.963118	core_member
EG_0003	rpl32_control	HC_0003	Drosophila_teissieri_Dtei_RpL32_001_CDS	Drosophila_teissieri	Dtei_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.948917	0.961688	core_member
EG_0003	rpl32_control	HC_0003	Drosophila_yakuba_Dyak_RpL32_001_CDS	Drosophila_yakuba	Dyak_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.948372	0.961279	core_member
EG_0006	rpl32_control	HC_0006	Drosophila_melanogaster_Dmel_RpL32_005_CDS	Drosophila_melanogaster	Dmel_RpL32	exon_like	CDS	RpL32	sequence_boundary_context_graph	0.5	0.375	ambiguous_member
