case_id	species	family_id	gene_id	gene_copy_id	genome_fasta	annotation_file	assembly	annotation	source_url	release	role_hint	source_label	copy_role	notes
sdic	Drosophila_melanogaster	sdic	2768883	Dmel_Sdic2	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	derived_sdic_copy	Sdic	derived	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_melanogaster	sdic	318231	Dmel_Sdic3	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	derived_sdic_copy	Sdic	derived	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_melanogaster	sdic	2768886	Dmel_Sdic4	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	derived_sdic_copy	Sdic	derived	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_melanogaster	sdic	33019	Dmel_AnxB10	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	source_annexin	AnxB10	source	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_melanogaster	sdic	44160	Dmel_sw	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/genome.fa.gz	/data/db/genome/Drosophila_melanogaster/GCF_000001215.4/annotation.gff3.gz	GCF_000001215.4	FlyBase Release 6.54	NCBI_RefSeq	2023-12-26	source_short_wing	sw	source	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_simulans	sdic	6740352	Dsim_AnxB10	/data/db/genome/Drosophila_simulans/GCF_016746395.2/genome.fa.gz	/data/db/genome/Drosophila_simulans/GCF_016746395.2/annotation.gff3.gz	GCF_016746395.2	NCBI Drosophila simulans Annotation Release 103	NCBI_RefSeq	2021-10-28	background_annexin	AnxB10	background	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_erecta	sdic	6550378	Dere_AnxB10	/data/db/genome/Drosophila_erecta/GCF_003286155.1/genome.fa.gz	/data/db/genome/Drosophila_erecta/GCF_003286155.1/annotation.gff3.gz	GCF_003286155.1	NCBI Drosophila erecta Annotation Release 101	NCBI_RefSeq	2018-11-01	background_annexin	AnxB10	background	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_yakuba	sdic	6526056	Dyak_AnxB10	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/genome.fa.gz	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/annotation.gff3.gz	GCF_016746365.2	NCBI Drosophila yakuba Annotation Release 102	NCBI_RefSeq	2021-08-16	background_annexin	AnxB10	background	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_yakuba	sdic	6526057	Dyak_sw	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/genome.fa.gz	/data/db/genome/Drosophila_yakuba/GCF_016746365.2/annotation.gff3.gz	GCF_016746365.2	NCBI Drosophila yakuba Annotation Release 102	NCBI_RefSeq	2021-08-16	background_short_wing	sw	background	NCBI GeneID from local RefSeq GFF
sdic	Drosophila_teissieri	sdic	122623874	Dtei_AnxB10	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/genome.fa.gz	/data/db/genome/Drosophila_teissieri/GCF_016746235.2/annotation.gff3.gz	GCF_016746235.2	NCBI Drosophila teissieri Annotation Release 100	NCBI_RefSeq	2021-09-21	background_annexin	AnxB10	background	NCBI GeneID from local RefSeq GFF
