occurrence_id	family_id	species	gene_copy_id	transcript_id	segment_id	contig	start	end	strand	role	presence_status	boundary_state	evidence
Dyak_AnxB10_A	sdic	Dyak	AnxB10_source	Dyak_AnxB10_tx	Anx_A	chr2	100	220	+	CDS	present	conserved	literature_curated_demo
Dsim_AnxB10_A	sdic	Dsim	AnxB10_source	Dsim_AnxB10_tx	Anx_A	chr2	100	220	+	CDS	present	conserved	literature_curated_demo
Dmel_AnxB10_A	sdic	Dmel	AnxB10_source	Dmel_AnxB10_tx	Anx_A	chr2	100	220	+	CDS	present	conserved	literature_curated_demo
Dyak_sw_S	sdic	Dyak	sw_source	Dyak_sw_tx	sw_S	chr2	800	920	+	CDS	present	conserved	literature_curated_demo
Dsim_sw_S	sdic	Dsim	sw_source	Dsim_sw_tx	sw_S	chr2	800	920	+	CDS	present	conserved	literature_curated_demo
Dmel_sw_S	sdic	Dmel	sw_source	Dmel_sw_tx	sw_S	chr2	800	920	+	CDS	present	conserved	literature_curated_demo
Dmel_sdic_A1	sdic	Dmel	Sdic_copy1	Dmel_Sdic1_tx	Anx_A	chr2	2000	2120	+	CDS	present	conserved	literature_curated_demo
Dmel_sdic_I1	sdic	Dmel	Sdic_copy1	Dmel_Sdic1_tx	intron_exonized	chr2	2120	2180	+	CDS	present	novel_splice	literature_curated_demo
Dmel_sdic_S1	sdic	Dmel	Sdic_copy1	Dmel_Sdic1_tx	sw_S	chr2	2180	2300	+	CDS	present	conserved	literature_curated_demo
Dmel_sdic_A2	sdic	Dmel	Sdic_copy2	Dmel_Sdic2_tx	Anx_A	chr2	2400	2520	+	CDS	present	conserved	copy_number_ambiguous_demo
Dmel_sdic_S2	sdic	Dmel	Sdic_copy2	Dmel_Sdic2_tx	sw_S	chr2	2520	2640	+	CDS	present	conserved	copy_number_ambiguous_demo
Dsim_hidden_I	sdic	Dsim	sw_source	Dsim_sw_tx	intron_exonized	chr2	760	800	+	unknown	unknown	unknown	annotation_deleted_negative_control
