node_id	parent_id	label	branch_length
root		root	1
anxb10_root	root	anxb10_root	1
anxb10_mel_sim	anxb10_root	anxb10_mel_sim	1
Dmel_AnxB10	anxb10_mel_sim	Drosophila_melanogaster:Dmel_AnxB10	1
Dsim_AnxB10	anxb10_mel_sim	Drosophila_simulans:Dsim_AnxB10	1
anxb10_yak_tei_ere	anxb10_root	anxb10_yak_tei_ere	1
Dere_AnxB10	anxb10_yak_tei_ere	Drosophila_erecta:Dere_AnxB10	1
anxb10_yak_tei	anxb10_yak_tei_ere	anxb10_yak_tei	1
Dyak_AnxB10	anxb10_yak_tei	Drosophila_yakuba:Dyak_AnxB10	1
Dtei_AnxB10	anxb10_yak_tei	Drosophila_teissieri:Dtei_AnxB10	1
sw_root	root	sw_root	1
Dmel_sw	sw_root	Drosophila_melanogaster:Dmel_sw	1
Dyak_sw	sw_root	Drosophila_yakuba:Dyak_sw	1
sdic_root	root	sdic_root	1
sdic_cluster	sdic_root	sdic_cluster	1
Dmel_Sdic2	sdic_cluster	Drosophila_melanogaster:Dmel_Sdic2	1
Dmel_Sdic3	sdic_cluster	Drosophila_melanogaster:Dmel_Sdic3	1
Dmel_Sdic4	sdic_cluster	Drosophila_melanogaster:Dmel_Sdic4	1
