evidence_id	family_id	species	gene_copy_id	homology_id	interval	annotation_status	inferred_role	support_score	completion_call	evidence_status	inferred_event	frame_status
ev_Drosophila_melanogaster_Dmel_RpL32_001_CDS	rpl32_control	Drosophila_melanogaster	Dmel_RpL32	NA	NT_033777.3:30045313-30045624:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_melanogaster_Dmel_RpL32_002_intron	rpl32_control	Drosophila_melanogaster	Dmel_RpL32	NA	NT_033777.3:30045625-30045686:-	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_melanogaster_Dmel_RpL32_003_CDS	rpl32_control	Drosophila_melanogaster	Dmel_RpL32	NA	NT_033777.3:30045687-30045786:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_melanogaster_Dmel_RpL32_004_intron	rpl32_control	Drosophila_melanogaster	Dmel_RpL32	NA	NT_033777.3:30045787-30045889:-	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_melanogaster_Dmel_RpL32_005_CDS	rpl32_control	Drosophila_melanogaster	Dmel_RpL32	NA	NT_033777.3:30045890-30045921:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_simulans_Dsim_RpL32_001_CDS	rpl32_control	Drosophila_simulans	Dsim_RpL32	NA	NC_052523.2:26165160-26165471:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_simulans_Dsim_RpL32_002_intron	rpl32_control	Drosophila_simulans	Dsim_RpL32	NA	NC_052523.2:26165472-26165530:-	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_simulans_Dsim_RpL32_003_CDS	rpl32_control	Drosophila_simulans	Dsim_RpL32	NA	NC_052523.2:26165531-26165623:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_erecta_Dere_RpL32_001_CDS	rpl32_control	Drosophila_erecta	Dere_RpL32	NA	NW_020825194.1:2229386-2229478:+	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_erecta_Dere_RpL32_002_intron	rpl32_control	Drosophila_erecta	Dere_RpL32	NA	NW_020825194.1:2229479-2229537:+	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_erecta_Dere_RpL32_003_CDS	rpl32_control	Drosophila_erecta	Dere_RpL32	NA	NW_020825194.1:2229538-2229849:+	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_yakuba_Dyak_RpL32_001_CDS	rpl32_control	Drosophila_yakuba	Dyak_RpL32	NA	NC_052530.2:28644547-28644858:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_yakuba_Dyak_RpL32_002_intron	rpl32_control	Drosophila_yakuba	Dyak_RpL32	NA	NC_052530.2:28644859-28644920:-	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_yakuba_Dyak_RpL32_003_CDS	rpl32_control	Drosophila_yakuba	Dyak_RpL32	NA	NC_052530.2:28644921-28645013:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_teissieri_Dtei_RpL32_001_CDS	rpl32_control	Drosophila_teissieri	Dtei_RpL32	NA	NC_053032.1:30061201-30061512:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
ev_Drosophila_teissieri_Dtei_RpL32_002_intron	rpl32_control	Drosophila_teissieri	Dtei_RpL32	NA	NC_053032.1:30061513-30061574:-	annotated	intron	0.9	supports_annotation	supports_annotation	annotated_segment	not_coding_or_unknown
ev_Drosophila_teissieri_Dtei_RpL32_003_CDS	rpl32_control	Drosophila_teissieri	Dtei_RpL32	NA	NC_053032.1:30061575-30061667:-	annotated	CDS	0.91	supports_annotation	supports_annotation	annotated_segment	coding_frame_annotated
