node_id	parent_id	label	branch_length
root		root	0
apis	root	apis	0.0604252
apis_cerana	apis	Apis_cerana	0.00861156
apis_mellifera	apis	Apis_mellifera	0.00895419
corbiculata	root	corbiculata	0.0166434
bombus	corbiculata	bombus	0.0362212
bombus_pascuorum	bombus	Bombus_pascuorum	0.0120421
bombus_sisters	bombus	bombus_sisters	0.00869641
bombus_terrestris	bombus_sisters	Bombus_terrestris	0.00256343
bombus_ignitus	bombus_sisters	Bombus_ignitus	0.00919757
meliponini	corbiculata	meliponini	0.04955058
frieseomelitta_varia	meliponini	Frieseomelitta_varia	0.00966295
tetragonisca_angustula	meliponini	Tetragonisca_angustula	0.00800873
