family_id	layer	site_id	species	state	state_0	state_1	evidence
rpl32_control	exon_presence	EG_0001	Drosophila_erecta	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0001	Drosophila_erecta	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0001	Drosophila_melanogaster	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0001	Drosophila_melanogaster	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0001	Drosophila_simulans	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0001	Drosophila_simulans	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0001	Drosophila_teissieri	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0001	Drosophila_teissieri	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0001	Drosophila_yakuba	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0001	Drosophila_yakuba	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0003	Drosophila_erecta	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0003	Drosophila_erecta	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0003	Drosophila_melanogaster	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0003	Drosophila_melanogaster	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0003	Drosophila_simulans	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0003	Drosophila_simulans	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0003	Drosophila_teissieri	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0003	Drosophila_teissieri	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0003	Drosophila_yakuba	present	absent	present	homologous_sequence_observed
rpl32_control	exon_role	EG_0003	Drosophila_yakuba	exonic	not_exonic	exonic	annotated_exon
rpl32_control	exon_presence	EG_0006	Drosophila_erecta	unknown	absent	present	no_observation
rpl32_control	exon_role	EG_0006	Drosophila_erecta	unknown	not_exonic	exonic	no_observation
rpl32_control	exon_presence	EG_0006	Drosophila_melanogaster	unknown	absent	present	ambiguous_correspondence
rpl32_control	exon_role	EG_0006	Drosophila_melanogaster	unknown	not_exonic	exonic	ambiguous_correspondence
rpl32_control	exon_presence	EG_0006	Drosophila_simulans	unknown	absent	present	no_observation
rpl32_control	exon_role	EG_0006	Drosophila_simulans	unknown	not_exonic	exonic	no_observation
rpl32_control	exon_presence	EG_0006	Drosophila_teissieri	unknown	absent	present	no_observation
rpl32_control	exon_role	EG_0006	Drosophila_teissieri	unknown	not_exonic	exonic	no_observation
rpl32_control	exon_presence	EG_0006	Drosophila_yakuba	unknown	absent	present	no_observation
rpl32_control	exon_role	EG_0006	Drosophila_yakuba	unknown	not_exonic	exonic	no_observation
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_erecta	present	absent	present	annotated_intron_between_homologous_exons
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_melanogaster	present	absent	present	annotated_intron_between_homologous_exons
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_simulans	present	absent	present	annotated_intron_between_homologous_exons
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_teissieri	present	absent	present	annotated_intron_between_homologous_exons
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_yakuba	present	absent	present	annotated_intron_between_homologous_exons
