homology_id	occurrence_id	source_label	support_type	comparable_start	comparable_end	confidence
H_Anx_A	Dyak_AnxB10_A	AnxB10_source	curated_alignment	0	120	high
H_Anx_A	Dsim_AnxB10_A	AnxB10_source	curated_alignment	0	120	high
H_Anx_A	Dmel_AnxB10_A	AnxB10_source	curated_alignment	0	120	high
H_sw_S	Dyak_sw_S	sw_source	curated_alignment	0	120	high
H_sw_S	Dsim_sw_S	sw_source	curated_alignment	0	120	high
H_sw_S	Dmel_sw_S	sw_source	curated_alignment	0	120	high
H_Anx_A	Dmel_sdic_A1	AnxB10_source	curated_alignment	0	120	high
H_sdic_I	Dmel_sdic_I1	sw_intronic_source	sequence_synteny_hidden	0	60	medium
H_sw_S	Dmel_sdic_S1	sw_source	curated_alignment	0	120	high
H_Anx_A	Dmel_sdic_A2	AnxB10_source	curated_alignment	0	120	medium
H_sw_S	Dmel_sdic_S2	sw_source	curated_alignment	0	120	medium
H_sdic_I	Dsim_hidden_I	sw_intronic_source	sequence_synteny_hidden	0	40	medium
