occurrence_id	family_id	species	gene_copy_id	transcript_id	segment_id	contig	start	end	strand	role	presence_status	boundary_state	evidence
Dmel_Adh_A	jingwei	Dmel	Adh_source_copy	Dmel_Adh_tx	Adh_A	chr2L	100	240	+	CDS	present	conserved	literature_curated_demo
Dsim_Adh_A	jingwei	Dsim	Adh_source_copy	Dsim_Adh_tx	Adh_A	chr2L	100	240	+	CDS	present	conserved	literature_curated_demo
Dere_Adh_A	jingwei	Dere	Adh_source_copy	Dere_Adh_tx	Adh_A	chr2L	100	240	+	CDS	present	conserved	literature_curated_demo
Dmel_yande_Y	jingwei	Dmel	yande_source_copy	Dmel_yande_tx	yande_Y	chrX	500	640	+	intron	present	unknown	literature_curated_demo
Dsim_yande_Y	jingwei	Dsim	yande_source_copy	Dsim_yande_tx	yande_Y	chrX	500	640	+	intron	present	unknown	literature_curated_demo
Dere_yande_Y	jingwei	Dere	yande_source_copy	Dere_yande_tx	yande_Y	chrX	500	640	+	intron	present	unknown	literature_curated_demo
Dyak_jgw_Y	jingwei	Dyak	jgw_copy	Dyak_jgw_tx	yande_Y	chr3R	1000	1140	+	CDS	present	weak_acceptor	literature_curated_demo
Dyak_jgw_A	jingwei	Dyak	jgw_copy	Dyak_jgw_tx	Adh_A	chr3R	1140	1280	+	CDS	present	conserved	literature_curated_demo
Dtei_jgw_Y	jingwei	Dtei	jgw_copy	Dtei_jgw_tx	yande_Y	chr3R	2000	2140	+	CDS	present	weak_acceptor	literature_curated_demo
Dtei_jgw_A	jingwei	Dtei	jgw_copy	Dtei_jgw_tx	Adh_A	chr3R	2140	2280	+	CDS	present	conserved	literature_curated_demo
Dyak_hidden_Y2	jingwei	Dyak	jgw_copy	Dyak_jgw_tx	yande_Y_hidden	chr3R	985	1000	+	unknown	unknown	unknown	annotation_deleted_negative_control
